src,dst,score,overlap_days,days_within_km,mean_distance_km,files_used,score_z,overlap_days_z,close_hit,combined_score
412000690,412325200,15.918574333190918,774,102,135.14586891539665,2922,2.907054172058619,0.4370758245857843,1,5.125592084351512
412061791,412508302,15.808635711669922,226,8,215.9940068481189,2922,2.522494969734019,-0.4079322963279917,1,4.318528821570023
257317000,316003227,15.982738494873049,1168,0,5304.11644942106,2922,3.131496851918803,1.0446181596953241,0,3.653805931766465
813021762,412413289,15.931644439697266,1016,0,738.9928691911366,2922,2.952772679920924,0.8102363451352986,0,3.3578908524885733
251146940,224072680,15.90399169921875,705,0,3339.621962615994,2922,2.856044926985835,0.33067881666050963,0,3.02138433531609
224017870,412428302,15.798707962036133,523,0,9882.368482820906,2922,2.4877682519779745,0.05003743343732121,0,2.512786968696635
205106000,258262000,15.2545804977417,2722,0,1893.0732540642352,2922,0.5844405520575943,3.440863816447163,0,2.304872460281176
273896300,224177240,14.946782112121582,4074,0,9790.255632122207,2922,-0.49222113437501414,5.525628377533706,0,2.270593054391839
271072320,251422540,15.525798797607422,1283,0,4268.236293943962,2922,1.5331471267737176,1.2219465062374486,0,2.144120379892442
412150903,237554000,15.759289741516112,141,0,8209.598748370308,2922,2.3498855022171035,-0.5390010742069533,0,2.080384965113627
205243000,412470145,15.418512344360352,1297,0,9790.841143531768,2922,1.1578650620167987,1.2435343049469247,0,1.779632214490261
271072219,412671880,15.6017427444458,460,0,9128.201093112948,2922,1.7987948419578785,-0.047107660755320926,0,1.775241011580218
227480000,247301090,14.912870407104492,3335,0,1747.9356662020496,2922,-0.6108423982258495,4.386101002797792,0,1.5822081031730466
273810110,800050093,15.55044651031494,265,0,4364.63965094258,2922,1.6193634591853328,-0.3477948570658799,0,1.4454660306523928
431007759,440122430,15.270681381225586,1370,0,992.2396646183126,2922,0.6407605497401403,1.356099255360621,0,1.3188101774204508
412327536,316003779,15.486700057983398,136,0,8631.992240978087,2922,1.396381903472822,-0.5467110023174805,0,1.1230264023140817
15201,412322501,14.907232284545898,159,36,145.36536112669168,2922,-0.6305642383193881,-0.5112453330090556,1,1.113813095176084
412436875,412836422,15.49772834777832,68,0,742.3546280542037,2922,1.434958249690968,-0.6515660246206498,0,1.1091752373806432
978925333,415131223,14.804768562316896,537,2,139.68654428292075,2922,-0.988976657380593,0.07162523214679724,1,1.0468359586928055
412322715,257391020,15.366168022155762,577,0,7076.42237547763,2922,0.9747675252755854,0.13330465703101446,0,1.0414198537910926
412425192,998508450,14.864188194274902,140,9,194.36356776054575,2922,-0.7811300794259282,-0.5405430598290588,1,0.9485983906595425
224060150,412333102,15.409903526306152,118,0,10153.811833895454,2922,1.1277518937954907,-0.5744667435153783,0,0.8405185220378015
